_id,name,cat
0079-000124-0003750,Multi Tribal Striped Legging,['girls']
0079-000124-0007500,Tribal Zig Zag Legging,['girls']
0079-000232-0003040,Tribal Stacked Legging,['girls']
0079-000868-0007922,Black Mixed Tribal Legging,['girls']
0079-001110-0002406,Black Crackle Tribal Legging,['girls']
0079-001110-0007104,Geo Static Legging,['girls']
0082-001110-0002837,Black Double Striped Waist Terry Jogger,['girls']
0082-001110-0009209,Rose Garden Athletic Jogger,['girls']
0085-001110-0000760,Green Cargo Camo Jogger,['girls']
0085-001110-0002756,Secret Garden Jogger,['girls']
0085-001110-0002810,Triple Striped Jogger,['girls']
0100-000401-0008732,White Baked Denim Skirtall,[]
0101-001077-0001224,Neon Orange Aztec Jacquard Skater Dress,"['dresses', 'girls']"
0101-001693-0007831,Black Flocked Floral Skater Dress,"['dresses', 'girls']"
0237-000624-0004252,Green/Grey Plaid Button Down,['guys']
0237-001110-0005008,Gray Micro Dot Button Down,['guys']
0249-000124-0001124,Striped Slub Henley Tee,"['guys', 'henley', 'short-sleeve-tees']"
0249-000124-0002203,New York Pinstripe Baseball Tee,['guys']
0269-001592-0000062,Chicago Bulls Logo Fleece Sweatshirt,['guys']
0284-000962-0005148,Medium Wash Cuffed Slim Jean,"['guys', 'jeans']"
0294-001675-0000014,Grey Zip Up Jogger,[]
0471-000869-0006121,Denim Lace Front Raglan Sweatshirt,['girls']
7121-000530-0004413,Plus Red Cowl Neck Striped Tunic,['plus']
7121-001364-0004148,Plus Cream 2-Tone Scalloped Cocoon,['plus']
0109-001494-0001083-0029,Cognac Suede Fringe Flap Cross Body,[]
0039-001110-0002393-0031,Light Green Funnel Neck Hoodie,['girls']
0362-000104-0001234-0191,Blocked Houndstooth Tall Rain Boot,"['girls-shoes', 'shoes']"
0033-000279-0007241-0001,Black Quilted Moto Jacket,"['girls', 'jackets-and-coats']"
0237-000831-0001112-0046,Navy & Mint Plaid Button Down,['guys']
0111-000063-0005500-0060,Candy Cane Suspenders,['accessories']
0167-000573-0004050-0068,Boho Shell Accent Necklace,['accessories']
0011-000124-0001436-0063,Dark Red Essential Racerback Tank,['girls']
0234-000988-0000002-0046,Sail Away Short Sleeve Button Down,['guys']
7230-000786-0009240-0086,Plus Coral Belted Chevron Cinched Sleeve Skater Dress,['plus']
0101-000786-0009170-0067,Burgundy Tribal Hourglass Body Con Mini,['girls']
0248-000124-0001312-0001,Chest Pocket Slub Tee,['guys']
